pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
Kepler-203,c,Kepler-203 c,Transit,0,3,5.370647,8E-06,-8E-06,0,0.061,,,0,,,,,,,,,,,,,,0.22,0.042,-0.042,0,,,,,0,1,0,1,19h48m21.59s,297.089977,+41d23m16.9s,41.388039,717.73,9.83,-9.83,0,717.73,9.83,-9.83,0,13.989,,0,Kepler-band,13.942,,0,5821,100,-100,0,,,,,1.11,0.21,-0.21,0,2014-05-14,Kepler
Kepler-203,d,Kepler-203 d,Transit,0,3,11.32972,8E-05,-8E-05,0,0.1,,,0,,,,,,,,,,,,,,0.128,0.025,-0.025,0,,,,,0,1,0,1,19h48m21.59s,297.089977,+41d23m16.9s,41.388039,717.73,9.83,-9.83,0,717.73,9.83,-9.83,0,13.989,,0,Kepler-band,13.942,,0,5821,100,-100,0,,,,,1.11,0.21,-0.21,0,2014-05-14,Kepler
Kepler-204,b,Kepler-204 b,Transit,0,2,14.400974,5.6E-05,-5.6E-05,0,0.117,,,0,,,,,,,,,,,,,,0.226,0.048,-0.048,0,,,,,0,1,0,1,19h01m23.32s,285.347187,+41d45m42.9s,41.761925,700.59,7.3,-7.3,0,700.59,7.3,-7.3,0,13.909,,0,Kepler-band,13.874,,0,5812,100,-100,0,,,,,1.24,0.26,-0.26,0,2014-05-14,Kepler
Kepler-204,c,Kepler-204 c,Transit,0,2,25.660593,0.000288,-0.000288,0,0.173,,,0,,,,,,,,,,,,,,0.16,0.035,-0.035,0,,,,,0,1,0,1,19h01m23.32s,285.347187,+41d45m42.9s,41.761925,700.59,7.3,-7.3,0,700.59,7.3,-7.3,0,13.909,,0,Kepler-band,13.874,,0,5812,100,-100,0,,,,,1.24,0.26,-0.26,0,2014-05-14,Kepler
Kepler-205,b,Kepler-205 b,Transit,0,2,2.75564,2E-06,-2E-06,0,0.032,,,0,,,,,,,,,,,,,,0.135,0.012,-0.012,0,,,,,0,1,0,1,19h01m08.91s,285.287111,+41d51m40.2s,41.861172,160.46,0.35,-0.35,0,160.46,0.35,-0.35,0,13.506,,0,Kepler-band,13.495,,0,4321,100,-100,0,,,,,0.55,0.02,-0.02,0,2014-05-14,Kepler
Kepler-205,c,Kepler-205 c,Transit,0,2,20.306546,3.8E-05,-3.8E-05,0,0.122,,,0,,,,,,,,,,,,,,0.146,0.011,-0.011,0,,,,,0,1,0,1,19h01m08.91s,285.287111,+41d51m40.2s,41.861172,160.46,0.35,-0.35,0,160.46,0.35,-0.35,0,13.506,,0,Kepler-band,13.495,,0,4321,100,-100,0,,,,,0.55,0.02,-0.02,0,2014-05-14,Kepler
Kepler-206,b,Kepler-206 b,Transit,0,3,7.781987,5.8E-05,-5.8E-05,0,0.078,,,0,,,,,,,,,,,,,,0.107,0.021,-0.021,0,,,,,0,1,0,1,19h26m32.32s,291.634678,+41d50m01.9s,41.833866,604.81,5.05,-5.05,0,604.81,5.05,-5.05,0,13.484,,0,Kepler-band,13.461,,0,5764,100,-100,0,,,,,1.19,0.23,-0.23,0,2014-05-14,Kepler
Kepler-206,c,Kepler-206 c,Transit,0,3,13.137471,6.5E-05,-6.5E-05,0,0.111,,,0,,,,,,,,,,,,,,0.158,0.03,-0.03,0,,,,,0,1,0,1,19h26m32.32s,291.634678,+41d50m01.9s,41.833866,604.81,5.05,-5.05,0,604.81,5.05,-5.05,0,13.484,,0,Kepler-band,13.461,,0,5764,100,-100,0,,,,,1.19,0.23,-0.23,0,2014-05-14,Kepler
Kepler-206,d,Kepler-206 d,Transit,0,3,23.44281,0.000453,-0.000453,0,0.163,,,0,,,,,,,,,,,,,,0.106,0.021,-0.021,0,,,,,0,1,0,1,19h26m32.32s,291.634678,+41d50m01.9s,41.833866,604.81,5.05,-5.05,0,604.81,5.05,-5.05,0,13.484,,0,Kepler-band,13.461,,0,5764,100,-100,0,,,,,1.19,0.23,-0.23,0,2014-05-14,Kepler
Kepler-207,b,Kepler-207 b,Transit,0,3,1.611865,6E-06,-6E-06,0,0.029,,,0,,,,,,,,,,,,,,0.14,0.027,-0.027,0,,,,,0,1,0,1,19h20m07.32s,290.030517,+42d09m57.8s,42.16605,898.2,10.22,-10.22,0,898.2,10.22,-10.22,0,13.182,,0,Kepler-band,13.167,,0,5920,116,-116,0,,,,,1.59,0.3,-0.3,0,2014-05-14,Kepler
Kepler-207,c,Kepler-207 c,Transit,0,3,3.071571,1.6E-05,-1.6E-05,0,0.044,,,0,,,,,,,,,,,,,,0.134,0.026,-0.026,0,,,,,0,1,0,1,19h20m07.32s,290.030517,+42d09m57.8s,42.16605,898.2,10.22,-10.22,0,898.2,10.22,-10.22,0,13.182,,0,Kepler-band,13.167,,0,5920,116,-116,0,,,,,1.59,0.3,-0.3,0,2014-05-14,Kepler
Kepler-207,d,Kepler-207 d,Transit,0,3,5.868075,9E-06,-9E-06,0,0.068,,,0,,,,,,,,,,,,,,0.295,0.056,-0.056,0,,,,,0,1,0,1,19h20m07.32s,290.030517,+42d09m57.8s,42.16605,898.2,10.22,-10.22,0,898.2,10.22,-10.22,0,13.182,,0,Kepler-band,13.167,,0,5920,116,-116,0,,,,,1.59,0.3,-0.3,0,2014-05-14,Kepler
Kepler-208,b,Kepler-208 b,Transit,0,4,4.22864,1.8E-05,-1.8E-05,0,0.054,,,0,,,,,,,,,,,,,,0.145,0.027,-0.027,0,,,,,0,1,0,1,19h35m33.65s,293.890206,+42d31m40.8s,42.528008,793.01,9.2,-9.2,0,793.01,9.2,-9.2,0,13.749,,0,Kepler-band,13.538,,0,6092,100,-100,0,,,,,1.31,0.24,-0.24,0,2014-05-14,Kepler
Kepler-208,c,Kepler-208 c,Transit,0,4,7.466623,6.7E-05,-6.7E-05,0,0.079,,,0,,,,,,,,,,,,,,0.124,0.023,-0.023,0,,,,,0,1,0,1,19h35m33.65s,293.890206,+42d31m40.8s,42.528008,793.01,9.2,-9.2,0,793.01,9.2,-9.2,0,13.749,,0,Kepler-band,13.538,,0,6092,100,-100,0,,,,,1.31,0.24,-0.24,0,2014-05-14,Kepler
Kepler-208,d,Kepler-208 d,Transit,0,4,11.131786,0.000131,-0.000131,0,0.103,,,0,,,,,,,,,,,,,,0.107,0.021,-0.021,0,,,,,0,1,0,1,19h35m33.65s,293.890206,+42d31m40.8s,42.528008,793.01,9.2,-9.2,0,793.01,9.2,-9.2,0,13.749,,0,Kepler-band,13.538,,0,6092,100,-100,0,,,,,1.31,0.24,-0.24,0,2014-05-14,Kepler
Kepler-208,e,Kepler-208 e,Transit,0,4,16.259458,0.000176,-0.000176,0,0.132,,,0,,,,,,,,,,,,,,0.132,0.025,-0.025,0,,,,,0,1,0,1,19h35m33.65s,293.890206,+42d31m40.8s,42.528008,793.01,9.2,-9.2,0,793.01,9.2,-9.2,0,13.749,,0,Kepler-band,13.538,,0,6092,100,-100,0,,,,,1.31,0.24,-0.24,0,2014-05-14,Kepler
Kepler-209,b,Kepler-209 b,Transit,0,2,16.087845,4.1E-05,-4.1E-05,0,0.122,,,0,,,,,,,,,,,,,,0.202,0.03,-0.03,0,,,,,0,1,0,1,19h24m40.69s,291.169537,+42d38m26.9s,42.640812,586.68,5.7,-5.7,0,586.68,5.7,-5.7,0,13.998,,0,Kepler-band,13.952,,0,5513,100,-100,0,,,,,0.94,0.14,-0.14,0,2014-05-14,Kepler
Kepler-209,c,Kepler-209 c,Transit,0,2,41.749882,0.000106,-0.000106,0,0.231,,,0,,,,,,,,,,,,,,0.277,0.045,-0.045,0,,,,,1,1,0,1,19h24m40.69s,291.169537,+42d38m26.9s,42.640812,586.68,5.7,-5.7,0,586.68,5.7,-5.7,0,13.998,,0,Kepler-band,13.952,,0,5513,100,-100,0,,,,,0.94,0.14,-0.14,0,2014-05-14,Kepler
Kepler-21,b,Kepler-21 b,Transit,0,1,2.78578,3E-05,-3E-05,0,0.042717,0,0,0,0.02,0.1,-0.1,0,83.2,0.28,-0.26,0,0.01598,0.00541,-0.00541,0,Mass,0.146,0.002,-0.001,0,6.4,2.1,-2.1,0,0,1,0,2,19h09m26.84s,287.361816,+38d42m50.5s,38.714016,108.86,0.38,-0.38,0,108.86,0.38,-0.38,0,8.25,0.012,0,V (Johnson),8.128,,0,6305,50,-50,0,1.41,0.02,-0.03,0,1.9,0.02,-0.01,0,2016-10-06,Kepler
Kepler-210,b,Kepler-210 b,Transit,0,2,2.453234,1E-06,-1E-06,0,0.032,,,0,,,,,,,,,,,,,,0.262,0.019,-0.019,0,,,,,0,1,0,1,19h30m00.81s,292.503389,+43d04m59.3s,43.083149,234.33,0.83,-0.83,0,234.33,0.83,-0.83,0,13.822,,0,Kepler-band,13.804,,0,4559,100,-100,0,,,,,0.65,0.03,-0.03,0,2014-05-14,Kepler
Kepler-210,c,Kepler-210 c,Transit,0,2,7.972513,3E-06,-3E-06,0,0.07,,,0,,,,,,,,,,,,,,0.323,0.017,-0.017,0,,,,,1,1,0,1,19h30m00.81s,292.503389,+43d04m59.3s,43.083149,234.33,0.83,-0.83,0,234.33,0.83,-0.83,0,13.822,,0,Kepler-band,13.804,,0,4559,100,-100,0,,,,,0.65,0.03,-0.03,0,2014-05-14,Kepler
Kepler-211,b,Kepler-211 b,Transit,0,2,4.138575,1E-05,-1E-05,0,0.048,,,0,,,,,,,,,,,,,,0.112,0.008,-0.008,0,,,,,0,1,0,1,19h01m45.40s,285.439151,+43d10m06.5s,43.168484,312.14,1.76,-1.76,0,312.14,1.76,-1.76,0,13.283,,0,Kepler-band,13.273,,0,5123,100,-100,0,,,,,0.82,0.05,-0.05,0,2014-05-14,Kepler
Kepler-211,c,Kepler-211 c,Transit,0,2,6.04045,1.6E-05,-1.6E-05,0,0.062,,,0,,,,,,,,,,,,,,0.115,0.008,-0.008,0,,,,,0,1,0,1,19h01m45.40s,285.439151,+43d10m06.5s,43.168484,312.14,1.76,-1.76,0,312.14,1.76,-1.76,0,13.283,,0,Kepler-band,13.273,,0,5123,100,-100,0,,,,,0.82,0.05,-0.05,0,2014-05-14,Kepler
Kepler-212,b,Kepler-212 b,Transit,0,2,16.257582,0.000378,-0.000378,0,0.133,,,0,,,,,,,,,,,,,,0.097,0.019,-0.019,0,,,,,0,1,0,1,19h10m29.00s,287.620834,+43d08m30.0s,43.141678,701.04,8.71,-8.71,0,701.04,8.71,-8.71,0,13.178,,0,Kepler-band,12.987,,0,5852,100,-100,0,,,,,1.46,0.27,-0.27,0,2014-05-14,Kepler
Kepler-212,c,Kepler-212 c,Transit,0,2,31.805174,0.000142,-0.000142,0,0.207,,,0,,,,,,,,,,,,,,0.244,0.045,-0.045,0,,,,,0,1,0,1,19h10m29.00s,287.620834,+43d08m30.0s,43.141678,701.04,8.71,-8.71,0,701.04,8.71,-8.71,0,13.178,,0,Kepler-band,12.987,,0,5852,100,-100,0,,,,,1.46,0.27,-0.27,0,2014-05-14,Kepler
Kepler-213,b,Kepler-213 b,Transit,0,2,2.46236,6E-06,-6E-06,0,0.036,,,0,,,,,,,,,,,,,,0.145,0.028,-0.028,0,,,,,0,1,0,1,19h23m17.80s,290.824182,+44d38m49.9s,44.647186,646.74,7.49,-7.49,0,646.74,7.49,-7.49,0,13.648,,0,Kepler-band,13.602,,0,5696,100,-100,0,,,,,1.2,0.22,-0.22,0,2014-05-14,Kepler
Kepler-213,c,Kepler-213 c,Transit,0,2,4.822962,8E-06,-8E-06,0,0.057,,,0,,,,,,,,,,,,,,0.209,0.04,-0.04,0,,,,,0,1,0,1,19h23m17.80s,290.824182,+44d38m49.9s,44.647186,646.74,7.49,-7.49,0,646.74,7.49,-7.49,0,13.648,,0,Kepler-band,13.602,,0,5696,100,-100,0,,,,,1.2,0.22,-0.22,0,2014-05-14,Kepler
Kepler-214,b,Kepler-214 b,Transit,0,2,15.660544,8E-05,-8E-05,0,0.13,,,0,,,,,,,,,,,,,,0.233,0.044,-0.044,0,,,,,0,1,0,1,18h59m01.16s,284.754851,+44d57m21.7s,44.956032,1252.07,24.36,-24.36,0,1252.07,24.36,-24.36,0,13.949,,0,Kepler-band,13.906,,0,6169,100,-100,0,,,,,1.35,0.25,-0.25,0,2014-05-14,Kepler
Kepler-214,c,Kepler-214 c,Transit,0,2,28.7798,0.000397,-0.000397,0,0.194,,,0,,,,,,,,,,,,,,0.19,0.036,-0.036,0,,,,,0,1,0,1,18h59m01.16s,284.754851,+44d57m21.7s,44.956032,1252.07,24.36,-24.36,0,1252.07,24.36,-24.36,0,13.949,,0,Kepler-band,13.906,,0,6169,100,-100,0,,,,,1.35,0.25,-0.25,0,2014-05-14,Kepler
Kepler-215,b,Kepler-215 b,Transit,0,4,9.360672,4E-05,-4E-05,0,0.084,,,0,,,,,,,,,,,,,,0.145,0.036,-0.036,0,,,,,0,1,0,1,19h39m53.64s,294.973509,+45d12m49.3s,45.213688,492.9,3.73,-3.73,0,492.9,3.73,-3.73,0,13.58,,0,Kepler-band,13.555,,0,5739,164,-164,0,,,,,1.03,0.24,-0.24,0,2014-05-14,Kepler
Kepler-215,c,Kepler-215 c,Transit,0,4,14.667108,8.9E-05,-8.9E-05,0,0.113,,,0,,,,,,,,,,,,,,0.158,0.037,-0.037,0,,,,,0,1,0,1,19h39m53.64s,294.973509,+45d12m49.3s,45.213688,492.9,3.73,-3.73,0,492.9,3.73,-3.73,0,13.58,,0,Kepler-band,13.555,,0,5739,164,-164,0,,,,,1.03,0.24,-0.24,0,2014-05-14,Kepler
Kepler-215,d,Kepler-215 d,Transit,0,4,30.864423,9.2E-05,-9.2E-05,0,0.185,,,0,,,,,,,,,,,,,,0.213,0.049,-0.049,0,,,,,1,1,0,1,19h39m53.64s,294.973509,+45d12m49.3s,45.213688,492.9,3.73,-3.73,0,492.9,3.73,-3.73,0,13.58,,0,Kepler-band,13.555,,0,5739,164,-164,0,,,,,1.03,0.24,-0.24,0,2014-05-14,Kepler
Kepler-215,e,Kepler-215 e,Transit,0,4,68.16101,0.00063,-0.00063,0,0.314,,,0,,,,,,,,,,,,,,0.156,0.037,-0.037,0,,,,,0,1,0,1,19h39m53.64s,294.973509,+45d12m49.3s,45.213688,492.9,3.73,-3.73,0,492.9,3.73,-3.73,0,13.58,,0,Kepler-band,13.555,,0,5739,164,-164,0,,,,,1.03,0.24,-0.24,0,2014-05-14,Kepler
Kepler-216,b,Kepler-216 b,Transit,0,2,7.693641,3.1E-05,-3.1E-05,0,0.079,,,0,,,,,,,,,,,,,,0.21,0.041,-0.041,0,,,,,0,1,0,1,19h34m54.74s,293.728072,+46d07m45.0s,46.129154,1229.44,22.78,-22.78,0,1229.44,22.78,-22.78,0,13.998,,0,Kepler-band,13.961,,0,6091,120,-120,0,,,,,1.26,0.24,-0.24,0,2014-05-14,Kepler
Kepler-216,c,Kepler-216 c,Transit,0,2,17.406669,5.7E-05,-5.7E-05,0,0.136,,,0,,,,,,,,,,,,,,0.271,0.053,-0.053,0,,,,,0,1,0,1,19h34m54.74s,293.728072,+46d07m45.0s,46.129154,1229.44,22.78,-22.78,0,1229.44,22.78,-22.78,0,13.998,,0,Kepler-band,13.961,,0,6091,120,-120,0,,,,,1.26,0.24,-0.24,0,2014-05-14,Kepler
Kepler-217,b,Kepler-217 b,Transit,0,3,5.374943,1.9E-05,-1.9E-05,0,0.065,,,0,,,,,,,,,,,,,,0.199,0.029,-0.029,0,,,,,0,1,0,1,19h32m09.06s,293.037744,+46d16m39.0s,46.277508,1140.95,17.61,-17.61,0,1140.95,17.61,-17.61,0,13.294,,0,Kepler-band,13.121,,0,6171,109,-109,0,,,,,1.8,0.26,-0.26,0,2014-05-14,Kepler
Kepler-217,c,Kepler-217 c,Transit,0,3,8.586004,5.3E-05,-5.3E-05,0,0.089,,,0,,,,,,,,,,,,,,0.165,0.024,-0.024,0,,,,,0,1,0,1,19h32m09.06s,293.037744,+46d16m39.0s,46.277508,1140.95,17.61,-17.61,0,1140.95,17.61,-17.61,0,13.294,,0,Kepler-band,13.121,,0,6171,109,-109,0,,,,,1.8,0.26,-0.26,0,2014-05-14,Kepler
Kepler-217,d,Kepler-217 d,Transit,0,3,3.88689525,2.241E-05,-2.241E-05,0,,,,,,,,,,,,,,,,,,0.118,0.032,-0.024,0,,,,,0,1,0,1,19h32m09.06s,293.037744,+46d16m39.0s,46.277508,1140.95,17.61,-17.61,0,1140.95,17.61,-17.61,0,13.294,,0,Kepler-band,13.121,,0,6171,109,-109,0,,,,,1.8,0.26,-0.26,0,2016-05-10,Kepler
Kepler-218,b,Kepler-218 b,Transit,0,3,3.619337,1.1E-05,-1.1E-05,0,0.046,,,0,,,,,,,,,,,,,,0.132,0.011,-0.011,0,,,,,0,1,0,1,19h41m39.07s,295.412811,+46d15m59.3s,46.266472,669.02,6.55,-6.55,0,669.02,6.55,-6.55,0,13.967,,0,Kepler-band,13.907,,0,5502,74,-74,0,,,,,1.06,0.08,-0.08,0,2014-05-14,Kepler
Kepler-218,c,Kepler-218 c,Transit,0,3,44.699576,0.000167,-0.000167,0,0.248,,,0,,,,,,,,,,,,,,0.28,0.023,-0.023,0,,,,,0,1,0,1,19h41m39.07s,295.412811,+46d15m59.3s,46.266472,669.02,6.55,-6.55,0,669.02,6.55,-6.55,0,13.967,,0,Kepler-band,13.907,,0,5502,74,-74,0,,,,,1.06,0.08,-0.08,0,2014-05-14,Kepler
Kepler-218,d,Kepler-218 d,Transit,0,3,124.5244647,0.0005822,-0.0005822,0,,,,,,,,,,,,,,,,,,0.237,0.025,-0.016,0,,,,,0,1,0,1,19h41m39.07s,295.412811,+46d15m59.3s,46.266472,669.02,6.55,-6.55,0,669.02,6.55,-6.55,0,13.967,,0,Kepler-band,13.907,,0,5502,74,-74,0,,,,,1.06,0.08,-0.08,0,2016-05-10,Kepler
Kepler-219,b,Kepler-219 b,Transit,0,3,4.585512,8E-06,-8E-06,0,0.057,,,0,,,,,,,,,,,,,,0.263,0.044,-0.044,0,,,,,0,1,0,1,19h14m57.36s,288.73898,+46d45m45.2s,46.762558,805.3,10.99,-10.99,0,805.3,10.99,-10.99,0,13.764,,0,Kepler-band,13.718,,0,5786,100,-100,0,,,,,1.49,0.25,-0.25,0,2014-05-14,Kepler
Kepler-219,c,Kepler-219 c,Transit,0,3,22.714613,7.5E-05,-7.5E-05,0,0.165,,,0,,,,,,,,,,,,,,0.319,0.054,-0.054,0,,,,,0,1,0,1,19h14m57.36s,288.73898,+46d45m45.2s,46.762558,805.3,10.99,-10.99,0,805.3,10.99,-10.99,0,13.764,,0,Kepler-band,13.718,,0,5786,100,-100,0,,,,,1.49,0.25,-0.25,0,2014-05-14,Kepler
Kepler-219,d,Kepler-219 d,Transit,0,3,47.903645,0.000307,-0.000307,0,0.272,,,0,,,,,,,,,,,,,,0.251,0.043,-0.043,0,,,,,0,1,0,1,19h14m57.36s,288.73898,+46d45m45.2s,46.762558,805.3,10.99,-10.99,0,805.3,10.99,-10.99,0,13.764,,0,Kepler-band,13.718,,0,5786,100,-100,0,,,,,1.49,0.25,-0.25,0,2014-05-14,Kepler
Kepler-22,b,Kepler-22 b,Transit,0,1,289.8623,0.0016,-0.002,0,0.849,0.018,-0.017,0,0,,,0,89.764,0.025,-0.042,0,0.113,,,1,Mass,0.212,0.012,-0.012,0,14.7,,,1,0,1,0,1,19h16m52.20s,289.217484,+47d53m04.1s,47.884464,190,,,0,195.74,0.93,-0.93,0,11.664,,0,Kepler-band,11.644,,0,5518,44,-44,0,0.97,0.06,-0.06,0,0.98,0.02,-0.02,0,2014-05-14,Kepler
Kepler-220,b,Kepler-220 b,Transit,0,4,4.159807,1E-05,-1E-05,0,0.046,,,0,,,,,,,,,,,,,,0.072,0.004,-0.004,0,,,,,0,1,0,1,19h26m01.50s,291.506237,+46d53m44.8s,46.895779,171.96,0.64,-0.64,0,171.96,0.64,-0.64,0,13.177,,0,Kepler-band,12.857,,0,4632,100,-100,0,,,,,0.67,0.03,-0.03,0,2014-05-14,Kepler
Kepler-220,c,Kepler-220 c,Transit,0,4,9.034199,9E-06,-9E-06,0,0.076,,,0,,,,,,,,,,,,,,0.14,0.008,-0.008,0,,,,,0,1,0,1,19h26m01.50s,291.506237,+46d53m44.8s,46.895779,171.96,0.64,-0.64,0,171.96,0.64,-0.64,0,13.177,,0,Kepler-band,12.857,,0,4632,100,-100,0,,,,,0.67,0.03,-0.03,0,2014-05-14,Kepler
Kepler-220,d,Kepler-220 d,Transit,0,4,28.122397,0.000162,-0.000162,0,0.163,,,0,,,,,,,,,,,,,,0.087,0.005,-0.005,0,,,,,0,1,0,1,19h26m01.50s,291.506237,+46d53m44.8s,46.895779,171.96,0.64,-0.64,0,171.96,0.64,-0.64,0,13.177,,0,Kepler-band,12.857,,0,4632,100,-100,0,,,,,0.67,0.03,-0.03,0,2014-05-14,Kepler
Kepler-220,e,Kepler-220 e,Transit,0,4,45.902733,0.000192,-0.000192,0,0.226,,,0,,,,,,,,,,,,,,0.119,0.011,-0.011,0,,,,,0,1,0,1,19h26m01.50s,291.506237,+46d53m44.8s,46.895779,171.96,0.64,-0.64,0,171.96,0.64,-0.64,0,13.177,,0,Kepler-band,12.857,,0,4632,100,-100,0,,,,,0.67,0.03,-0.03,0,2014-05-14,Kepler
Kepler-221,b,Kepler-221 b,Transit,0,4,2.795906,4E-06,-4E-06,0,0.037,,,0,,,,,,,,,,,,,,0.153,0.015,-0.015,0,,,,,0,1,0,1,19h46m37.14s,296.654765,+46d50m07.0s,46.83527,389.55,2.88,-2.88,0,389.55,2.88,-2.88,0,13.749,,0,Kepler-band,13.749,,0,5243,100,-100,0,,,,,0.82,0.07,-0.07,0,2014-05-14,Kepler
Kepler-221,c,Kepler-221 c,Transit,0,4,5.690586,4E-06,-4E-06,0,0.059,,,0,,,,,,,,,,,,,,0.261,0.024,-0.024,0,,,,,0,1,0,1,19h46m37.14s,296.654765,+46d50m07.0s,46.83527,389.55,2.88,-2.88,0,389.55,2.88,-2.88,0,13.749,,0,Kepler-band,13.749,,0,5243,100,-100,0,,,,,0.82,0.07,-0.07,0,2014-05-14,Kepler
Kepler-221,d,Kepler-221 d,Transit,0,4,10.04156,1.1E-05,-1.1E-05,0,0.087,,,0,,,,,,,,,,,,,,0.244,0.022,-0.022,0,,,,,0,1,0,1,19h46m37.14s,296.654765,+46d50m07.0s,46.83527,389.55,2.88,-2.88,0,389.55,2.88,-2.88,0,13.749,,0,Kepler-band,13.749,,0,5243,100,-100,0,,,,,0.82,0.07,-0.07,0,2014-05-14,Kepler
Kepler-221,e,Kepler-221 e,Transit,0,4,18.369917,2.9E-05,-2.9E-05,0,0.13,,,0,,,,,,,,,,,,,,0.235,0.022,-0.022,0,,,,,1,1,0,1,19h46m37.14s,296.654765,+46d50m07.0s,46.83527,389.55,2.88,-2.88,0,389.55,2.88,-2.88,0,13.749,,0,Kepler-band,13.749,,0,5243,100,-100,0,,,,,0.82,0.07,-0.07,0,2014-05-14,Kepler
Kepler-222,b,Kepler-222 b,Transit,0,3,3.936981,5E-06,-5E-06,0,0.048,,,0,,,,,,,,,,,,,,0.282,0.125,-0.125,0,,,,,0,1,0,1,19h11m37.46s,287.9061,+46d56m16.0s,46.937767,775.61,15.32,-15.32,0,775.61,15.32,-15.32,0,15.063,,0,Kepler-band,15.06,,0,5433,200,-200,0,,,,,0.87,0.38,-0.38,0,2014-05-14,Kepler
Kepler-222,c,Kepler-222 c,Transit,0,3,10.08881,1.1E-05,-1.1E-05,0,0.091,,,0,,,,,,,,,,,,,,0.414,0.185,-0.185,0,,,,,1,1,0,1,19h11m37.46s,287.9061,+46d56m16.0s,46.937767,775.61,15.32,-15.32,0,775.61,15.32,-15.32,0,15.063,,0,Kepler-band,15.06,,0,5433,200,-200,0,,,,,0.87,0.38,-0.38,0,2014-05-14,Kepler
Kepler-222,d,Kepler-222 d,Transit,0,3,28.081912,6.9E-05,-6.9E-05,0,0.18,,,0,,,,,,,,,,,,,,0.329,0.145,-0.145,0,,,,,1,1,0,1,19h11m37.46s,287.9061,+46d56m16.0s,46.937767,775.61,15.32,-15.32,0,775.61,15.32,-15.32,0,15.063,,0,Kepler-band,15.06,,0,5433,200,-200,0,,,,,0.87,0.38,-0.38,0,2014-05-14,Kepler
Kepler-223,b,Kepler-223 b,Transit,0,4,7.38449,0.00022,-0.00022,0,,,,,0.078,0.015,-0.017,0,90,,-1.8,0,0.02328,0.00409,-0.00346,0,Mass,0.267,0.016,-0.024,0,1.54,0.63,-0.35,0,1,1,0,1,19h53m16.41s,298.318356,+47d16m46.2s,47.279495,1960.49,120.21,-120.21,0,1960.49,120.21,-120.21,0,15.344,,0,Kepler-band,15.395,,0,,,,,1.12,0.09,-0.07,0,1.72,0.07,-0.14,0,2016-08-04,Kepler
Kepler-223,c,Kepler-223 c,Transit,0,4,9.84564,0.00052,-0.00051,0,,,,,0.15,0.019,-0.051,0,90,,-1.3,0,0.01605,0.00535,-0.00346,0,Mass,0.307,0.018,-0.027,0,0.71,0.33,-0.2,0,1,1,0,1,19h53m16.41s,298.318356,+47d16m46.2s,47.279495,1960.49,120.21,-120.21,0,1960.49,120.21,-120.21,0,15.344,,0,Kepler-band,15.395,,0,,,,,1.12,0.09,-0.07,0,1.72,0.07,-0.14,0,2016-08-04,Kepler
Kepler-223,d,Kepler-223 d,Transit,0,4,14.78869,0.0003,-0.00027,0,,,,,0.037,0.018,-0.017,0,87.94,0.32,-0.26,0,0.02517,0.00472,-0.00409,0,Mass,0.467,0.023,-0.04,0,0.31,0.12,-0.07,0,1,1,0,1,19h53m16.41s,298.318356,+47d16m46.2s,47.279495,1960.49,120.21,-120.21,0,1960.49,120.21,-120.21,0,15.344,,0,Kepler-band,15.395,,0,,,,,1.12,0.09,-0.07,0,1.72,0.07,-0.14,0,2016-08-04,Kepler
Kepler-223,e,Kepler-223 e,Transit,0,4,19.72567,0.00055,-0.00054,0,,,,,0.051,0.019,-0.019,0,88,0.27,-0.21,0,0.0151,0.0044,-0.00378,0,Mass,0.41,0.024,-0.037,0,0.28,0.12,-0.08,0,1,1,0,1,19h53m16.41s,298.318356,+47d16m46.2s,47.279495,1960.49,120.21,-120.21,0,1960.49,120.21,-120.21,0,15.344,,0,Kepler-band,15.395,,0,,,,,1.12,0.09,-0.07,0,1.72,0.07,-0.14,0,2016-08-04,Kepler
Kepler-224,b,Kepler-224 b,Transit,0,4,3.132924,1.4E-05,-1.4E-05,0,0.038,,,0,,,,,,,,,,,,,,0.124,0.008,-0.008,0,,,,,0,1,0,1,19h23m44.23s,290.934287,+47d21m27.4s,47.357601,799.75,18.98,-18.98,0,799.75,18.98,-18.98,0,15.644,,0,Kepler-band,15.636,,0,5018,100,-100,0,,,,,0.68,0.04,-0.04,0,2014-05-14,Kepler
